"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"beta0",-29.6599247066667,-29.4809,-29.5830397489146,6949.8,0.95,-38.3155,-21.3686,NA,NA,NA,NA,NA,NA,NA
"beta[1]",0.338950575733333,0.3367345,0.331725540188291,10135.2,0.95,0.178727,0.499266,NA,NA,NA,NA,NA,NA,NA
"beta[2]",0.00835706235573333,0.008314355,0.00785474469800015,3142.1,0.95,0.00366798,0.0133926,NA,NA,NA,NA,NA,NA,NA
"beta[3]",83.3058891133333,82.6489,81.5139771943106,7228.4,0.95,49.4761,120.236,NA,NA,NA,NA,NA,NA,NA
"beta[4]",0.00464499808920567,0.00459631,0.00466296542239335,2938,0.95,-0.00216693,0.0122071,NA,NA,NA,NA,NA,NA,NA
"beta[5]",18.9014781911333,18.91425,18.2454667832443,12421.4,0.95,7.68354,30.565,NA,NA,NA,NA,NA,NA,NA
"zbeta0",-0.39594814593478,-0.396574,-0.412509154288812,8817.6,0.95,-1.06522,0.256849,NA,NA,NA,NA,NA,NA,NA
"zbeta[1]",1.4484506495,1.438985,1.41757665453871,10135.2,0.95,0.763762,2.13353,NA,NA,NA,NA,NA,NA,NA
"zbeta[2]",4.52709253284667,4.503955,4.25501264475798,3142.1,0.95,1.98697,7.25488,NA,NA,NA,NA,NA,NA,NA
"zbeta[3]",1.8381308408,1.823635,1.79859527339413,7228.4,0.95,1.09168,2.65298,NA,NA,NA,NA,NA,NA,NA
"zbeta[4]",1.62083333719467,1.603845,1.62709485937331,2938,0.95,-0.756131,4.25958,NA,NA,NA,NA,NA,NA,NA
"zbeta[5]",1.42935773397133,1.430325,1.37974968069835,12421.4,0.95,0.580624,2.31095,NA,NA,NA,NA,NA,NA,NA
